"month","postcodes","energy_standardized","centroid","energy_centroid","sbd_condition"
7,1250,1.25837311499211,1,1.82470308459313,"Normal"
8,1250,1.16447260541607,1,2.02857538171229,"Normal"
9,1250,0.170054492799668,1,0.2811244684223,"Normal"
10,1250,0.396466875953475,1,-0.342933490461208,"Normal"
11,1250,-0.853762812187552,1,-0.853125217105535,"Normal"
12,1250,0.473147652869654,1,-0.00340337541770287,"Normal"
1,1300,1.72549545284068,2,1.49179873833799,"Normal"
2,1300,-0.112438731604626,2,-0.0835842789879939,"Normal"
3,1300,-0.137042180625823,2,-0.0570467517226409,"Normal"
4,1300,-1.81335443366282,2,-1.448119846376,"Normal"
5,1300,-1.01626043677768,2,-1.12674080520377,"Normal"
6,1300,-0.540992047678162,2,-0.933443083453534,"Normal"
7,1300,0.224548079032224,2,0.0692444265251755,"Normal"
